"Age","Gender","Stream","Internships","CGPA","Backlogs","Projects","Internships","SSC_P","HSC_P","Aptitude_Score","Softskill_Score","PlacedOrNot"
"22","Male","Mechanical","2","7","0","6","2","70.00%","76.00%","7","","0"
"22","Female","Electronics And Communication","1","7","0","1","0","70.00%","84.00%","7","","0"
"22","Female","Electronics And Communication","2","8","0","2","1","80.00%","76.00%","8","","1"
"22","Male","Electronics And Communication","1","8","0","2","0","80.00%","80.00%","8","","1"
"21","Male","Mechanical","1","6","0","0","0","60.00%","74.00%","6","","0"
"22","Male","Mechanical","2","6","0","3","0","60.00%","84.00%","6","","1"
"22","Male","Civil","1","6","0","1","2","60.00%","76.00%","6","","0"
"21","Male","Mechanical","1","8","0","0","1","80.00%","84.00%","8","","1"
"21","Female","Information Technology","2","6","0","3","1","60.00%","76.00%","6","","1"
"21","Male","Electronics And Communication","2","8","0","0","0","80.00%","80.00%","8","","1"
"21","Male","Information Technology","2","8","1","2","2","80.00%","74.00%","8","","1"
"22","Male","Computer Science","2","7","0","1","1","70.00%","84.00%","7","","0"
"22","Male","Information Technology","1","8","0","3","0","80.00%","76.00%","8","","1"
"22","Male","Electrical","2","8","0","6","1","80.00%","84.00%","8","","1"
"22","Male","Electronics And Communication","2","8","0","1","2","80.00%","76.00%","8","","1"
"21","Male","Computer Science","2","6","0","3","3","60.00%","80.00%","6","","1"
"22","Male","Computer Science","1","7","0","2","1","70.00%","74.00%","7","","1"
"21","Female","Mechanical","1","7","0","0","2","70.00%","84.00%","7","","0"
"21","Male","Computer Science","2","6","0","3","0","60.00%","76.00%","6","","1"
"22","Female","Computer Science","1","6","0","1","1","60.00%","84.00%","6","","1"
"21","Male","Mechanical","1","6","1","0","0","60.00%","76.00%","6","","0"
"22","Male","Electronics And Communication","1","7","1","3","0","70.00%","80.00%","7","","0"
"21","Female","Computer Science","1","8","0","0","0","80.00%","74.00%","8","","1"
"22","Male","Electrical","1","7","0","2","2","70.00%","84.00%","7","","0"
"21","Male","Information Technology","2","6","0","1","1","60.00%","76.00%","6","","1"
"21","Female","Information Technology","1","7","1","3","1","70.00%","84.00%","7","","1"
"22","Female","Information Technology","1","6","0","6","0","60.00%","76.00%","6","","1"
"21","Male","Mechanical","2","6","0","1","2","60.00%","80.00%","6","","1"
"22","Male","Mechanical","1","6","0","2","1","60.00%","74.00%","6","","0"
"21","Male","Electronics And Communication","1","7","0","2","0","70.00%","84.00%","7","","1"
"22","Male","Information Technology","0","6","0","0","1","60.00%","76.00%","6","","1"
"22","Male","Civil","1","8","0","3","2","80.00%","84.00%","8","","1"
"21","Male","Electrical","0","7","0","1","3","70.00%","76.00%","7","","0"
"22","Male","Electronics And Communication","1","7","0","0","1","70.00%","80.00%","7","","0"
"22","Female","Information Technology","1","8","0","3","2","80.00%","74.00%","8","","1"
"22","Female","Electrical","1","6","1","0","0","60.00%","84.00%","6","","0"
"21","Male","Mechanical","0","7","0","2","1","70.00%","76.00%","7","","0"
"22","Male","Electronics And Communication","0","7","0","1","0","70.00%","84.00%","7","","0"
"22","Male","Information Technology","1","7","0","3","0","70.00%","76.00%","7","","0"
"22","Male","Computer Science","0","7","1","6","0","70.00%","80.00%","7","","0"
"21","Male","Electronics And Communication","1","8","1","1","2","80.00%","74.00%","8","","1"
"22","Male","Computer Science","0","6","0","3","1","60.00%","84.00%","6","","0"
"22","Male","Information Technology","0","7","0","2","1","70.00%","76.00%","7","","0"
"21","Male","Electronics And Communication","1","6","0","0","0","60.00%","84.00%","6","","0"
"22","Male","Mechanical","1","7","1","3","2","70.00%","76.00%","7","","0"
"22","Male","Computer Science","2","7","0","1","1","70.00%","80.00%","7","","0"
"22","Female","Electrical","1","7","1","0","0","70.00%","74.00%","7","","0"
"21","Male","Civil","1","6","0","3","1","60.00%","84.00%","6","","0"
"22","Male","Civil","0","6","0","0","2","60.00%","76.00%","6","","0"
"22","Male","Electrical","0","7","0","2","3","70.00%","84.00%","7","","0"
"21","Male","Computer Science","1","7","0","1","1","70.00%","76.00%","7","","0"
"22","Female","Information Technology","0","6","0","3","2","60.00%","80.00%","6","","0"
"21","Male","Electrical","0","8","0","6","0","80.00%","74.00%","8","","1"
"21","Male","Mechanical","0","7","0","1","1","70.00%","84.00%","7","","0"
"21","Male","Computer Science","1","6","0","2","0","60.00%","76.00%","6","","0"
"22","Male","Computer Science","0","7","0","2","0","70.00%","84.00%","7","","0"
"22","Female","Civil","1","8","0","0","0","80.00%","76.00%","8","","1"
"22","Female","Information Technology","1","7","0","3","2","70.00%","80.00%","7","","0"
"21","Female","Information Technology","2","8","1","1","1","80.00%","74.00%","8","","1"
"21","Male","Computer Science","1","8","0","0","1","80.00%","84.00%","8","","1"
"22","Male","Information Technology","0","8","0","3","0","80.00%","76.00%","8","","1"
"21","Female","Electronics And Communication","0","6","0","0","2","60.00%","84.00%","6","","0"
"22","Male","Civil","2","6","0","2","1","60.00%","76.00%","6","","1"
"21","Male","Electronics And Communication","2","8","0","1","0","80.00%","80.00%","8","","1"
"21","Male","Mechanical","0","7","0","3","1","70.00%","74.00%","7","","0"
"21","Male","Electrical","0","7","0","6","2","70.00%","84.00%","7","","0"
"22","Male","Mechanical","0","8","0","1","3","80.00%","76.00%","8","","1"
"21","Male","Civil","0","6","0","3","1","60.00%","84.00%","6","","0"
"22","Male","Information Technology","0","8","0","2","2","80.00%","76.00%","8","","1"
"21","Male","Computer Science","1","7","0","0","0","70.00%","80.00%","7","","0"
"22","Male","Computer Science","1","8","0","3","1","80.00%","74.00%","8","","1"
"21","Male","Information Technology","2","8","0","1","0","80.00%","84.00%","8","","1"
"22","Male","Information Technology","1","7","0","0","0","70.00%","76.00%","7","","0"
"22","Female","Civil","1","6","0","3","0","60.00%","84.00%","6","","0"
"21","Male","Computer Science","0","8","0","0","2","80.00%","76.00%","8","","1"
"21","Male","Computer Science","0","8","1","2","1","80.00%","80.00%","8","","1"
"21","Male","Mechanical","2","6","0","1","1","60.00%","74.00%","6","","1"
"21","Male","Electrical","1","8","0","3","0","80.00%","84.00%","8","","1"
"25","Male","Computer Science","0","7","0","6","2","70.00%","76.00%","7","","0"
"26","Male","Electronics And Communication","2","6","0","1","1","60.00%","84.00%","6","","1"
"24","Female","Electrical","1","8","1","2","0","80.00%","76.00%","8","","1"
"25","Male","Computer Science","2","6","0","2","1","60.00%","80.00%","6","","1"
"24","Female","Electronics And Communication","0","6","0","0","2","60.00%","74.00%","6","","1"
"25","Male","Computer Science","1","8","0","3","3","80.00%","84.00%","8","","1"
"23","Male","Electronics And Communication","0","9","0","1","1","90.00%","76.00%","9","","1"
"24","Male","Electrical","1","7","0","0","2","70.00%","84.00%","7","","1"
"25","Male","Civil","0","9","0","3","0","90.00%","76.00%","9","","1"
"25","Male","Computer Science","1","8","0","0","1","80.00%","80.00%","8","","1"
"26","Female","Information Technology","1","6","0","2","0","60.00%","74.00%","6","","1"
"26","Male","Information Technology","1","6","0","1","0","60.00%","84.00%","6","","1"
"25","Male","Electrical","0","8","0","3","0","80.00%","76.00%","8","","1"
"26","Male","Information Technology","0","8","0","6","2","80.00%","84.00%","8","","1"
"24","Male","Information Technology","0","8","0","1","1","80.00%","76.00%","8","","1"
"25","Male","Computer Science","1","8","0","3","1","80.00%","80.00%","8","","1"
"23","Male","Computer Science","1","6","0","2","0","60.00%","74.00%","6","","1"
"23","Male","Civil","0","7","0","0","2","70.00%","84.00%","7","","0"
"24","Male","Electronics And Communication","1","9","0","3","1","90.00%","76.00%","9","","1"
"25","Male","Computer Science","0","8","0","1","0","80.00%","84.00%","8","","1"
"24","Male","Computer Science","0","7","1","0","1","70.00%","76.00%","7","","1"
"24","Male","Mechanical","2","8","0","3","2","80.00%","80.00%","8","","1"
"23","Male","Mechanical","1","8","0","0","3","80.00%","74.00%","8","","1"
"26","Male","Information Technology","1","8","0","2","1","80.00%","84.00%","8","","1"
"23","Female","Civil","1","7","1","1","2","70.00%","76.00%","7","","0"
"26","Male","Computer Science","1","9","0","3","0","90.00%","84.00%","9","","1"
"26","Male","Electrical","2","8","0","6","1","80.00%","76.00%","8","","1"
"26","Male","Electrical","0","9","1","1","0","90.00%","80.00%","9","","1"
"26","Male","Civil","0","6","0","2","0","60.00%","74.00%","6","","1"
"24","Male","Mechanical","0","9","1","2","0","90.00%","84.00%","9","","1"
"24","Male","Computer Science","1","7","0","0","2","70.00%","76.00%","7","","1"
"23","Male","Electrical","0","8","0","3","1","80.00%","84.00%","8","","1"
"26","Female","Mechanical","1","7","0","1","1","70.00%","76.00%","7","","0"
"23","Male","Information Technology","1","7","0","0","0","70.00%","80.00%","7","","0"
"24","Male","Mechanical","0","8","0","3","2","80.00%","74.00%","8","","1"
"26","Male","Civil","0","9","0","0","1","90.00%","84.00%","9","","1"
"25","Male","Electrical","0","7","0","2","0","70.00%","76.00%","7","","0"
"23","Male","Mechanical","0","9","1","1","1","90.00%","84.00%","9","","1"
"24","Female","Computer Science","1","8","0","3","2","80.00%","76.00%","8","","1"
"23","Male","Information Technology","1","8","0","6","3","80.00%","80.00%","8","","1"
"23","Male","Mechanical","0","7","0","1","1","70.00%","74.00%","7","","0"
"26","Male","Computer Science","3","7","0","3","2","70.00%","84.00%","7","","1"
"24","Male","Information Technology","1","6","0","2","0","60.00%","84.00%","6","","1"
"26","Male","Electrical","1","8","0","0","1","80.00%","76.00%","8","","1"
"23","Male","Computer Science","1","6","0","3","0","60.00%","80.00%","6","","1"
"23","Male","Civil","1","7","0","1","0","70.00%","74.00%","7","","0"
"26","Male","Information Technology","1","7","0","0","0","70.00%","84.00%","7","","1"
"26","Male","Civil","0","7","0","3","2","70.00%","76.00%","7","","0"
"24","Male","Computer Science","1","7","0","0","1","70.00%","84.00%","7","","1"
"23","Male","Information Technology","0","8","0","2","1","80.00%","76.00%","8","","1"
"26","Female","Information Technology","1","6","1","1","0","60.00%","80.00%","6","","1"
"23","Male","Electronics And Communication","1","6","1","3","2","60.00%","74.00%","6","","0"
"24","Male","Civil","0","7","0","6","1","70.00%","84.00%","7","","0"
"24","Male","Computer Science","1","6","0","1","0","60.00%","76.00%","6","","1"
"25","Male","Information Technology","1","6","0","2","1","60.00%","84.00%","6","","1"
"25","Male","Computer Science","0","8","0","2","2","80.00%","76.00%","8","","1"
"26","Male","Civil","0","8","0","0","3","80.00%","80.00%","8","","1"
"24","Male","Mechanical","0","6","0","3","1","60.00%","74.00%","6","","1"
"26","Female","Electrical","1","8","0","1","2","80.00%","84.00%","8","","1"
"25","Male","Information Technology","1","8","0","0","0","80.00%","76.00%","8","","1"
"22","Male","Computer Science","0","6","0","3","1","60.00%","84.00%","6","","1"
"21","Male","Information Technology","0","6","0","0","0","60.00%","76.00%","6","","1"
"22","Male","Electrical","1","6","0","2","0","60.00%","80.00%","6","","0"
"22","Male","Information Technology","1","6","0","1","0","60.00%","74.00%","6","","1"
"22","Female","Computer Science","1","6","0","3","2","60.00%","84.00%","6","","1"
"22","Male","Electronics And Communication","1","8","0","6","1","80.00%","76.00%","8","","1"
"21","Female","Computer Science","1","6","0","1","1","60.00%","84.00%","6","","1"
"22","Male","Computer Science","1","6","0","3","0","60.00%","76.00%","6","","0"
"21","Female","Information Technology","1","6","0","2","2","60.00%","80.00%","6","","1"
"21","Male","Electrical","0","8","0","0","1","80.00%","74.00%","8","","1"
"22","Male","Mechanical","0","7","0","3","0","70.00%","84.00%","7","","0"
"22","Female","Computer Science","2","8","0","1","1","80.00%","76.00%","8","","1"
"22","Male","Computer Science","1","8","0","0","2","80.00%","84.00%","8","","1"
"22","Male","Computer Science","1","8","0","3","3","80.00%","76.00%","8","","1"
"21","Male","Information Technology","0","7","0","0","1","70.00%","80.00%","7","","1"
"21","Female","Electronics And Communication","0","6","0","2","2","60.00%","74.00%","6","","0"
"21","Male","Electrical","1","6","0","1","0","60.00%","84.00%","6","","0"
"22","Male","Computer Science","1","6","0","3","1","60.00%","76.00%","6","","1"
"22","Male","Electrical","0","8","0","6","0","80.00%","84.00%","8","","1"
"21","Male","Electrical","1","7","1","1","0","70.00%","76.00%","7","","1"
"21","Female","Mechanical","1","7","0","2","0","70.00%","80.00%","7","","0"
"22","Male","Electrical","0","7","0","2","2","70.00%","74.00%","7","","0"
"21","Female","Information Technology","2","8","0","0","1","80.00%","84.00%","8","","1"
"22","Male","Mechanical","0","8","0","3","1","80.00%","76.00%","8","","1"
"21","Male","Computer Science","1","8","0","1","0","80.00%","84.00%","8","","1"
"22","Male","Civil","0","6","1","0","2","60.00%","76.00%","6","","0"
"21","Male","Information Technology","0","6","0","3","1","60.00%","80.00%","6","","0"
"21","Female","Electronics And Communication","1","8","1","0","0","80.00%","74.00%","8","","1"
"22","Female","Information Technology","1","8","0","2","1","80.00%","84.00%","8","","1"
"22","Male","Mechanical","1","8","0","1","2","80.00%","76.00%","8","","1"
"22","Male","Civil","0","8","0","3","3","80.00%","84.00%","8","","1"
"22","Male","Civil","0","6","0","6","1","60.00%","76.00%","6","","0"
"22","Male","Computer Science","1","8","0","1","2","80.00%","80.00%","8","","1"
"22","Male","Electronics And Communication","1","8","0","3","0","80.00%","74.00%","8","","1"
"22","Male","Computer Science","2","8","1","2","1","80.00%","84.00%","8","","1"
"22","Female","Electrical","0","8","0","0","0","80.00%","76.00%","8","","1"
"22","Male","Information Technology","1","7","0","3","0","70.00%","84.00%","7","","1"
"22","Female","Computer Science","0","8","0","1","0","80.00%","76.00%","8","","1"
"22","Male","Electrical","0","7","0","0","2","70.00%","80.00%","7","","0"
"21","Male","Electronics And Communication","0","8","1","3","1","80.00%","74.00%","8","","1"
"22","Female","Information Technology","0","7","0","0","1","70.00%","84.00%","7","","1"
"21","Male","Computer Science","1","7","0","2","0","70.00%","76.00%","7","","1"
"22","Male","Civil","1","6","0","1","2","60.00%","84.00%","6","","0"
"21","Female","Information Technology","0","6","0","3","1","60.00%","76.00%","6","","1"
"22","Male","Computer Science","1","8","0","6","0","80.00%","80.00%","8","","1"
"21","Male","Mechanical","0","8","0","1","1","80.00%","74.00%","8","","1"
"22","Male","Civil","0","6","0","2","2","60.00%","84.00%","6","","0"
"22","Male","Computer Science","1","6","0","2","3","60.00%","76.00%","6","","1"
"22","Male","Computer Science","1","7","0","0","1","70.00%","84.00%","7","","1"
"21","Male","Civil","0","6","0","3","2","60.00%","76.00%","6","","0"
"22","Male","Computer Science","1","8","0","1","0","80.00%","80.00%","8","","1"
"21","Male","Civil","1","8","0","0","1","80.00%","74.00%","8","","1"
"21","Male","Electronics And Communication","1","6","1","3","0","60.00%","84.00%","6","","0"
"22","Female","Mechanical","1","8","0","0","0","80.00%","76.00%","8","","1"
"22","Male","Information Technology","0","8","0","2","0","80.00%","84.00%","8","","1"
"21","Male","Civil","0","6","0","1","2","60.00%","76.00%","6","","0"
"22","Male","Electronics And Communication","1","6","0","3","1","60.00%","80.00%","6","","0"
"21","Male","Mechanical","0","8","0","6","1","80.00%","74.00%","8","","1"
"21","Female","Electrical","0","7","0","1","0","70.00%","84.00%","7","","0"
"22","Male","Computer Science","0","6","0","3","2","60.00%","76.00%","6","","1"
"22","Female","Information Technology","1","7","0","2","1","70.00%","84.00%","7","","1"
"21","Male","Electronics And Communication","1","8","0","0","0","80.00%","76.00%","8","","1"
"21","Male","Computer Science","2","8","0","3","1","80.00%","80.00%","8","","1"
"22","Male","Civil","0","7","1","1","2","70.00%","74.00%","7","","0"
"21","Male","Electronics And Communication","0","7","0","0","3","70.00%","84.00%","7","","0"
"21","Male","Civil","0","8","0","3","1","80.00%","76.00%","8","","1"
"21","Male","Mechanical","0","7","0","0","2","70.00%","84.00%","7","","0"
"21","Female","Information Technology","0","7","0","2","0","70.00%","76.00%","7","","1"
"21","Male","Electronics And Communication","2","6","0","1","1","60.00%","80.00%","6","","1"
"21","Female","Information Technology","0","8","0","3","0","80.00%","74.00%","8","","1"
"21","Male","Electronics And Communication","0","7","0","6","0","70.00%","84.00%","7","","1"
"21","Male","Information Technology","1","8","0","1","0","80.00%","76.00%","8","","1"
"22","Male","Electronics And Communication","3","7","0","2","2","70.00%","84.00%","7","","0"
"21","Male","Mechanical","0","6","0","2","1","60.00%","76.00%","6","","0"
"21","Male","Mechanical","0","6","0","0","1","60.00%","80.00%","6","","0"
"21","Female","Mechanical","1","8","0","3","0","80.00%","74.00%","8","","1"
"22","Male","Electrical","0","8","0","1","2","80.00%","84.00%","8","","1"
"21","Male","Information Technology","0","6","0","0","1","60.00%","76.00%","6","","1"
"22","Female","Information Technology","0","6","0","3","0","60.00%","84.00%","6","","1"
"22","Male","Computer Science","1","6","0","0","1","60.00%","76.00%","6","","0"
"21","Male","Information Technology","0","6","0","2","2","60.00%","80.00%","6","","1"
"22","Male","Computer Science","1","7","0","1","3","70.00%","74.00%","7","","1"
"22","Male","Mechanical","1","8","0","3","1","80.00%","84.00%","8","","1"
"22","Male","Electrical","0","7","0","6","2","70.00%","76.00%","7","","0"
"22","Male","Electronics And Communication","1","6","1","1","0","60.00%","84.00%","6","","0"
"21","Male","Computer Science","0","7","0","3","1","70.00%","76.00%","7","","1"
"22","Male","Electrical","1","6","0","2","0","60.00%","80.00%","6","","0"
"21","Male","Electronics And Communication","0","6","0","0","0","60.00%","74.00%","6","","0"
"22","Male","Information Technology","0","8","1","3","0","80.00%","84.00%","8","","1"
"22","Male","Electronics And Communication","2","8","0","1","2","80.00%","76.00%","8","","1"
"22","Male","Mechanical","1","7","0","0","1","70.00%","84.00%","7","","0"
"22","Female","Information Technology","0","6","0","3","1","60.00%","76.00%","6","","0"
"21","Male","Electrical","0","7","0","0","0","70.00%","80.00%","7","","1"
"22","Male","Electronics And Communication","0","7","0","2","2","70.00%","74.00%","7","","0"
"22","Male","Computer Science","1","7","0","1","1","70.00%","84.00%","7","","1"
"21","Male","Computer Science","1","8","0","3","0","80.00%","76.00%","8","","1"
"21","Male","Computer Science","2","7","0","6","1","70.00%","84.00%","7","","1"
"22","Male","Information Technology","2","6","0","1","2","60.00%","76.00%","6","","1"
"21","Male","Information Technology","1","6","0","2","3","60.00%","80.00%","6","","1"
"22","Male","Civil","0","8","1","2","1","80.00%","74.00%","8","","1"
"22","Male","Mechanical","1","7","0","0","2","70.00%","84.00%","7","","0"
"21","Male","Computer Science","1","8","0","3","0","80.00%","76.00%","8","","1"
"21","Male","Mechanical","0","8","0","1","1","80.00%","84.00%","8","","1"
"21","Male","Electrical","2","7","1","0","0","70.00%","76.00%","7","","1"
"21","Female","Computer Science","0","6","0","3","0","60.00%","80.00%","6","","1"
"22","Male","Mechanical","1","6","0","0","0","60.00%","74.00%","6","","0"
"22","Male","Civil","0","6","0","2","2","60.00%","84.00%","6","","0"
"21","Male","Electronics And Communication","2","7","0","1","1","70.00%","76.00%","7","","1"
"22","Female","Information Technology","0","8","0","3","1","80.00%","84.00%","8","","1"
"22","Male","Electronics And Communication","0","6","0","6","0","60.00%","76.00%","6","","0"
"22","Female","Information Technology","1","6","0","1","2","60.00%","80.00%","6","","1"
"22","Male","Mechanical","1","7","0","3","1","70.00%","74.00%","7","","0"
"22","Male","Mechanical","1","6","0","2","0","60.00%","84.00%","6","","0"
"22","Male","Information Technology","0","8","0","0","1","80.00%","76.00%","8","","1"
"22","Male","Information Technology","0","8","0","3","2","80.00%","84.00%","8","","1"
"21","Male","Electrical","1","6","1","1","3","60.00%","76.00%","6","","0"
"22","Male","Computer Science","1","7","0","0","1","70.00%","80.00%","7","","1"
"21","Male","Computer Science","0","8","1","3","2","80.00%","74.00%","8","","1"
"21","Male","Information Technology","2","6","0","0","0","60.00%","84.00%","6","","1"
"21","Male","Electronics And Communication","1","8","1","2","1","80.00%","76.00%","8","","1"
"22","Male","Information Technology","0","8","0","1","0","80.00%","84.00%","8","","1"
"22","Female","Information Technology","0","8","0","3","0","80.00%","76.00%","8","","1"
"22","Male","Computer Science","0","6","1","6","0","60.00%","80.00%","6","","1"
"22","Male","Information Technology","1","8","0","1","2","80.00%","74.00%","8","","1"
"21","Male","Computer Science","0","6","1","2","1","60.00%","84.00%","6","","0"
"21","Male","Electrical","0","6","0","2","1","60.00%","76.00%","6","","0"
"22","Male","Information Technology","1","8","1","0","0","80.00%","84.00%","8","","1"
"22","Male","Mechanical","0","6","0","3","2","60.00%","76.00%","6","","0"
"21","Male","Information Technology","1","8","0","1","1","80.00%","80.00%","8","","1"
"22","Male","Electrical","1","7","0","0","0","70.00%","74.00%","7","","0"
"22","Male","Electronics And Communication","0","8","0","3","1","80.00%","84.00%","8","","1"
"21","Male","Information Technology","0","8","0","0","2","80.00%","76.00%","8","","1"
"21","Female","Computer Science","1","7","0","2","3","70.00%","84.00%","7","","1"
"22","Male","Information Technology","0","6","0","1","1","60.00%","76.00%","6","","1"
"22","Male","Information Technology","0","7","0","3","2","70.00%","80.00%","7","","1"
"22","Male","Civil","0","6","1","6","0","60.00%","74.00%","6","","0"
"22","Male","Information Technology","1","7","0","1","1","70.00%","84.00%","7","","0"
"21","Male","Electrical","1","8","0","3","0","80.00%","76.00%","8","","1"
"21","Female","Information Technology","2","7","0","2","0","70.00%","84.00%","7","","1"
"22","Male","Information Technology","3","8","0","0","0","80.00%","76.00%","8","","1"
"22","Male","Mechanical","0","7","1","3","2","70.00%","80.00%","7","","0"
"21","Female","Information Technology","1","6","0","1","1","60.00%","74.00%","6","","0"
"22","Male","Mechanical","1","7","1","0","1","70.00%","84.00%","7","","0"
"21","Male","Information Technology","1","6","0","3","0","60.00%","76.00%","6","","0"
"21","Male","Mechanical","0","8","0","0","2","80.00%","84.00%","8","","1"
"22","Male","Electrical","0","8","1","2","1","80.00%","76.00%","8","","1"
"21","Male","Information Technology","1","8","0","1","0","80.00%","80.00%","8","","1"
"21","Male","Computer Science","0","6","0","3","1","60.00%","74.00%","6","","0"
"22","Male","Information Technology","0","7","0","6","2","70.00%","84.00%","7","","0"
"21","Male","Mechanical","0","8","0","1","3","80.00%","76.00%","8","","1"
"21","Male","Information Technology","0","7","0","2","1","70.00%","84.00%","7","","0"
"21","Male","Electrical","0","6","0","2","2","60.00%","76.00%","6","","0"
"21","Male","Electronics And Communication","1","7","1","0","0","70.00%","80.00%","7","","0"
"21","Male","Civil","2","7","0","3","1","70.00%","74.00%","7","","0"
"22","Female","Civil","1","8","0","1","0","80.00%","84.00%","8","","1"
"22","Male","Information Technology","0","6","0","0","0","60.00%","76.00%","6","","1"
"22","Female","Information Technology","1","6","0","3","0","60.00%","84.00%","6","","1"
"22","Male","Civil","0","7","0","0","2","70.00%","76.00%","7","","0"
"21","Male","Computer Science","0","8","1","2","1","80.00%","80.00%","8","","1"
"22","Male","Information Technology","2","6","0","1","1","60.00%","74.00%","6","","1"
"21","Male","Civil","0","6","0","3","0","60.00%","84.00%","6","","0"
"21","Male","Civil","0","8","0","6","2","80.00%","76.00%","8","","1"
"21","Male","Computer Science","0","7","0","1","1","70.00%","84.00%","7","","1"
"21","Male","Civil","1","7","0","3","0","70.00%","76.00%","7","","0"
"21","Male","Civil","1","6","0","2","1","60.00%","80.00%","6","","0"
"21","Male","Information Technology","2","8","1","0","2","80.00%","74.00%","8","","1"
"21","Female","Mechanical","1","6","0","3","3","60.00%","84.00%","6","","0"
"22","Male","Information Technology","2","8","0","1","1","80.00%","76.00%","8","","1"
"21","Female","Civil","1","8","1","0","2","80.00%","84.00%","8","","1"
"22","Male","Information Technology","0","6","0","3","0","60.00%","76.00%","6","","1"
"22","Male","Electronics And Communication","0","7","0","0","1","70.00%","80.00%","7","","0"
"21","Male","Computer Science","1","8","0","2","0","80.00%","74.00%","8","","1"
"22","Male","Information Technology","2","7","0","1","0","70.00%","84.00%","7","","1"
"22","Male","Computer Science","1","7","0","3","0","70.00%","76.00%","7","","1"
"22","Male","Information Technology","1","7","1","6","2","70.00%","84.00%","7","","1"
"22","Male","Computer Science","1","7","0","1","1","70.00%","76.00%","7","","1"
"22","Male","Mechanical","1","7","1","2","1","70.00%","80.00%","7","","0"
"22","Female","Computer Science","1","7","0","2","0","70.00%","74.00%","7","","0"
"22","Male","Mechanical","0","7","0","0","2","70.00%","84.00%","7","","0"
"22","Male","Civil","0","8","0","3","1","80.00%","76.00%","8","","1"
"22","Male","Information Technology","2","7","1","1","0","70.00%","84.00%","7","","1"
"22","Male","Mechanical","0","7","0","0","1","70.00%","76.00%","7","","0"
"22","Male","Computer Science","0","6","0","3","2","60.00%","80.00%","6","","1"
"22","Male","Electronics And Communication","0","8","0","0","3","80.00%","74.00%","8","","1"
"22","Male","Computer Science","1","8","0","2","1","80.00%","84.00%","8","","1"
"22","Male","Computer Science","1","6","0","1","2","60.00%","84.00%","6","","1"
"22","Male","Computer Science","2","7","0","3","0","70.00%","76.00%","7","","1"
"21","Male","Computer Science","1","8","0","6","1","80.00%","80.00%","8","","1"
"21","Male","Information Technology","0","7","1","1","0","70.00%","74.00%","7","","1"
"22","Male","Computer Science","0","7","0","3","0","70.00%","84.00%","7","","1"
"22","Female","Information Technology","0","8","0","2","0","80.00%","76.00%","8","","1"
"22","Male","Information Technology","0","7","0","0","2","70.00%","84.00%","7","","1"
"22","Male","Computer Science","0","8","0","3","1","80.00%","76.00%","8","","1"
"21","Male","Civil","1","8","0","1","1","80.00%","80.00%","8","","1"
"21","Male","Mechanical","0","7","0","0","0","70.00%","74.00%","7","","0"
"21","Male","Information Technology","1","6","0","3","2","60.00%","84.00%","6","","1"
"21","Male","Information Technology","1","8","0","0","1","80.00%","76.00%","8","","1"
"21","Male","Mechanical","0","7","0","2","0","70.00%","84.00%","7","","0"
"22","Male","Computer Science","1","7","0","1","1","70.00%","76.00%","7","","1"
"21","Male","Computer Science","1","7","0","3","2","70.00%","80.00%","7","","1"
"22","Male","Mechanical","1","8","0","6","3","80.00%","74.00%","8","","1"
"22","Male","Information Technology","1","8","0","1","1","80.00%","84.00%","8","","1"
"21","Male","Information Technology","0","6","1","2","2","60.00%","76.00%","6","","1"
"21","Male","Information Technology","0","7","1","2","0","70.00%","84.00%","7","","1"
"22","Male","Information Technology","2","8","0","0","1","80.00%","76.00%","8","","1"
"22","Male","Electrical","0","8","1","3","0","80.00%","80.00%","8","","1"
"22","Male","Mechanical","0","7","0","1","0","70.00%","74.00%","7","","0"
"22","Female","Electronics And Communication","1","6","0","0","0","60.00%","84.00%","6","","0"
"21","Male","Mechanical","0","8","0","3","2","80.00%","76.00%","8","","1"
"21","Male","Electrical","0","7","0","0","1","70.00%","84.00%","7","","0"
"22","Male","Electronics And Communication","1","6","0","2","1","60.00%","76.00%","6","","0"
"21","Male","Civil","0","8","0","1","0","80.00%","80.00%","8","","1"
"21","Male","Civil","0","8","0","3","2","80.00%","74.00%","8","","1"
"22","Male","Computer Science","1","7","0","6","1","70.00%","84.00%","7","","1"
"21","Male","Mechanical","1","6","0","1","0","60.00%","76.00%","6","","0"
"21","Male","Information Technology","0","6","1","3","1","60.00%","84.00%","6","","1"
"22","Female","Computer Science","0","8","0","2","2","80.00%","76.00%","8","","1"
"21","Female","Computer Science","0","7","0","0","3","70.00%","80.00%","7","","0"
"22","Male","Civil","0","8","0","3","1","80.00%","74.00%","8","","1"
"22","Male","Computer Science","1","8","1","1","2","80.00%","84.00%","8","","1"
"22","Male","Civil","0","6","1","0","0","60.00%","76.00%","6","","0"
"22","Male","Mechanical","0","7","0","3","1","70.00%","84.00%","7","","0"
"21","Male","Electronics And Communication","1","7","1","0","0","70.00%","76.00%","7","","1"
"22","Male","Information Technology","0","8","0","2","0","80.00%","80.00%","8","","1"
"22","Male","Computer Science","0","6","0","1","0","60.00%","74.00%","6","","1"
"22","Male","Information Technology","1","8","0","3","2","80.00%","84.00%","8","","1"
"21","Male","Electronics And Communication","1","7","0","6","1","70.00%","76.00%","7","","0"
"22","Female","Computer Science","1","8","0","1","1","80.00%","84.00%","8","","1"
